Date,Campaign name,Adset name (optional),Spends,Impressions,clicks,Check
2023-12-10,,Interest & KW - Men - FR,0.00,6,0,
2023-12-11,,Interest & KW - Men - FR,0.00,1,0,
2023-12-12,,Interest & KW - Men - FR,0.00,2,0,
2023-12-13,,Interest & KW - Men - FR,0.00,2,0,
2023-12-15,,Interest & KW - Men - FR,0.00,4,0,
2023-12-16,,Interest & KW - Men - FR,0.00,2,0,
2023-12-17,,Interest & KW - Men - FR,0.00,2,0,
2023-12-18,,Interest & KW - Men - FR,0.00,1,0,
2023-12-19,,Interest & KW - Men - FR,0.00,3,0,
2023-12-21,,Interest & KW - Men - FR,0.00,1,0,
2023-12-22,,Interest & KW - Men - FR,0.00,3,0,
2023-12-23,,Interest & KW - Men - FR,0.00,2,0,
2023-12-25,,Interest & KW - Men - FR,0.00,1,0,
2023-12-26,,Interest & KW - Men - FR,0.00,2,0,
2023-12-27,,Interest & KW - Men - FR,0.00,11,0,
2023-12-28,,Interest & KW - Men - FR,0.00,6,0,
2023-12-29,,Interest & KW - Men - FR,0.00,4,0,
2023-12-30,,Interest & KW - Men - FR,0.00,2,0,
2023-12-31,,Interest & KW - Men - FR,0.00,6,0,
2024-01-01,,Interest & KW - Men - FR,0.00,11,0,
2024-01-02,,Interest & KW - Men - FR,0.00,2,0,
2024-01-03,,Interest & KW - Men - FR,0.00,7,0,
2024-01-04,,Interest & KW - Men - FR,0.00,7,1,
2024-01-05,,Interest & KW - Men - FR,0.00,2,0,
2024-01-06,,Interest & KW - Men - FR,0.00,2,0,
2024-01-07,,Interest & KW - Men - FR,0.00,2,0,
2024-01-08,,Interest & KW - Men - FR,0.00,4,0,
2024-01-10,,Interest & KW - Men - FR,0.00,6,0,
2024-01-11,,Interest & KW - Men - FR,0.00,3,0,
2024-01-13,,Interest & KW - Men - FR,0.00,4,0,
2024-01-14,,Interest & KW - Men - FR,0.00,3,0,
2024-01-15,,Interest & KW - Men - FR,0.00,3,0,
2024-01-16,,Interest & KW - Men - FR,0.00,2,0,
2024-01-17,,Interest & KW - Men - FR,0.00,6,1,
2024-01-18,,Interest & KW - Men - FR,0.00,1,0,
2024-01-19,,Interest & KW - Men - FR,0.00,2,0,
2024-01-20,,Interest & KW - Men - FR,0.00,5,1,
2024-01-22,,Interest & KW - Men - FR,0.00,4,0,
2024-01-24,,Interest & KW - Men - FR,0.00,2,0,
2024-01-25,,Interest & KW - Men - FR,0.00,1,0,
2024-01-26,,Interest & KW - Men - FR,0.00,1,0,
